Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
09-Nov-2023,16:00,182.44,+0.27,+0.15%,182.16,182.13,182.59,"1,929,056"
09-Nov-2023,15:55,182.17,+0.19,+0.10%,181.99,181.99,182.22,"1,095,708"
09-Nov-2023,15:50,181.98,+0.06,+0.03%,181.92,181.83,182.03,"616,625"
09-Nov-2023,15:45,181.92,-0.02,-0.01%,181.93,181.84,182.00,"500,378"
09-Nov-2023,15:40,181.94,-0.07,-0.04%,182.00,181.88,182.13,"515,628"
09-Nov-2023,15:35,182.00,+0.14,+0.08%,181.87,179.65,182.05,"444,922"
09-Nov-2023,15:30,181.86,-0.10,-0.05%,181.96,181.82,182.14,"480,705"
09-Nov-2023,15:25,181.96,-0.13,-0.07%,182.09,181.80,182.11,"444,885"
09-Nov-2023,15:20,182.09,-0.13,-0.07%,182.21,181.87,182.24,"1,060,132"
09-Nov-2023,15:15,182.21,+0.05,+0.02%,182.16,182.10,182.27,"425,519"
09-Nov-2023,15:10,182.17,+0.05,+0.03%,182.12,179.22,182.20,"414,672"
09-Nov-2023,15:05,182.12,-0.26,-0.14%,182.37,182.02,182.38,"543,274"
09-Nov-2023,15:00,182.37,+0.06,+0.03%,182.24,182.17,182.44,"301,319"
09-Nov-2023,14:55,182.31,-0.25,-0.14%,182.56,182.16,182.56,"324,840"
09-Nov-2023,14:50,182.56,+0.13,+0.07%,182.44,182.44,182.61,"326,028"
09-Nov-2023,14:45,182.44,-0.12,-0.07%,182.57,182.27,182.57,"359,842"
09-Nov-2023,14:40,182.55,-0.04,-0.02%,182.58,182.34,182.70,"403,334"
09-Nov-2023,14:35,182.59,-0.23,-0.13%,182.82,182.55,182.83,"422,673"
09-Nov-2023,14:30,182.82,+0.01,+0.01%,182.80,182.73,182.98,"327,734"
09-Nov-2023,14:25,182.81,+0.41,+0.22%,182.40,175.65,182.88,"477,736"
09-Nov-2023,14:20,182.40,-0.19,-0.10%,182.59,182.33,182.63,"537,155"
09-Nov-2023,14:15,182.59,-0.30,-0.16%,182.87,182.44,182.88,"462,025"
09-Nov-2023,14:10,182.89,+0.19,+0.10%,182.70,182.43,182.90,"634,148"
09-Nov-2023,14:05,182.70,-0.42,-0.23%,183.11,182.51,183.11,"770,866"
09-Nov-2023,14:00,183.12,-0.03,-0.02%,183.15,182.99,183.35,"358,660"
09-Nov-2023,13:55,183.15,-0.15,-0.08%,183.31,183.08,183.32,"1,822,948"
09-Nov-2023,13:50,183.30,-0.06,-0.03%,183.36,183.23,183.46,"402,103"
09-Nov-2023,13:45,183.36,-0.07,-0.04%,183.44,183.16,183.62,"360,798"
09-Nov-2023,13:40,183.44,-0.19,-0.10%,183.62,183.40,183.73,"342,055"
09-Nov-2023,13:35,183.62,-0.06,-0.03%,183.71,183.40,183.71,"394,704"
09-Nov-2023,13:30,183.68,-0.10,-0.05%,183.77,183.61,183.83,"425,191"
09-Nov-2023,13:25,183.78,+0.45,+0.25%,183.34,183.29,183.84,"595,641"
09-Nov-2023,13:20,183.33,-0.14,-0.08%,183.33,183.25,183.48,"362,635"
09-Nov-2023,13:15,183.47,+0.44,+0.24%,183.04,182.85,183.52,"652,442"
09-Nov-2023,13:10,183.04,-0.13,-0.07%,183.17,182.69,183.25,"742,335"
09-Nov-2023,13:05,183.17,-0.75,-0.41%,183.92,182.90,183.97,"1,070,103"
09-Nov-2023,13:00,183.92,-0.06,-0.03%,183.98,183.83,183.99,"282,465"
09-Nov-2023,12:55,183.98,+0.15,+0.08%,183.83,183.82,184.02,"405,339"
09-Nov-2023,12:50,183.83,+0.09,+0.05%,183.74,183.68,183.89,"426,004"
09-Nov-2023,12:45,183.74,+0.19,+0.10%,183.55,183.54,183.75,"359,207"
09-Nov-2023,12:40,183.55,-0.13,-0.07%,183.69,183.54,183.77,"268,174"
09-Nov-2023,12:35,183.68,+0.10,+0.05%,183.58,183.52,183.71,"287,843"
09-Nov-2023,12:30,183.58,-0.07,-0.04%,183.65,183.51,183.68,"248,471"
09-Nov-2023,12:25,183.65,-0.05,-0.03%,183.70,183.61,183.74,"230,028"
09-Nov-2023,12:20,183.70,-0.04,-0.02%,183.75,183.58,183.78,"320,712"
09-Nov-2023,12:15,183.75,-0.15,-0.08%,183.88,183.66,183.90,"398,475"
09-Nov-2023,12:10,183.90,+0.26,+0.14%,183.64,183.63,183.94,"335,213"
09-Nov-2023,12:05,183.64,-0.32,-0.17%,183.98,183.64,183.99,"428,677"
09-Nov-2023,12:00,183.96,-0.09,-0.05%,184.05,176.30,184.07,"409,365"
09-Nov-2023,11:55,184.05,+0.29,+0.16%,183.77,183.69,184.12,"939,486"
09-Nov-2023,11:50,183.76,+0.16,+0.08%,183.60,183.55,183.80,"505,055"
09-Nov-2023,11:45,183.60,-0.05,-0.02%,183.65,183.50,183.66,"385,484"
09-Nov-2023,11:40,183.65,+0.02,+0.01%,183.64,183.56,183.72,"414,148"
09-Nov-2023,11:35,183.63,+0.10,+0.06%,183.54,183.48,183.71,"400,060"
09-Nov-2023,11:30,183.53,-0.25,-0.14%,183.79,183.52,183.84,"429,894"
09-Nov-2023,11:25,183.78,+0.10,+0.05%,183.69,183.66,183.98,"744,844"
09-Nov-2023,11:20,183.68,-0.01,-0.01%,183.69,183.64,183.81,"588,579"
09-Nov-2023,11:15,183.69,-0.04,-0.02%,183.72,183.59,183.82,"495,332"
09-Nov-2023,11:10,183.73,+0.25,+0.14%,183.49,183.47,183.73,"874,699"
09-Nov-2023,11:05,183.48,+0.13,+0.07%,183.35,183.29,183.50,"573,619"
09-Nov-2023,11:00,183.36,+0.08,+0.04%,183.27,183.19,183.38,"504,432"
09-Nov-2023,10:55,183.27,+0.22,+0.12%,183.04,183.04,183.34,"692,949"
09-Nov-2023,10:50,183.05,-0.06,-0.03%,183.10,182.97,183.13,"377,601"
09-Nov-2023,10:45,183.11,+0.30,+0.16%,182.81,182.67,183.11,"445,344"
09-Nov-2023,10:40,182.81,+0.26,+0.14%,182.55,182.52,183.03,"561,281"
09-Nov-2023,10:35,182.55,-0.09,-0.05%,182.64,182.47,182.71,"559,353"
09-Nov-2023,10:30,182.64,-0.36,-0.20%,183.00,182.60,183.00,"525,525"
09-Nov-2023,10:25,183.00,+0.10,+0.05%,182.90,182.85,183.05,"514,718"
09-Nov-2023,10:20,182.90,-0.17,-0.09%,183.06,182.87,183.13,"618,226"
09-Nov-2023,10:15,183.07,+0.29,+0.16%,182.77,182.66,183.08,"484,624"
09-Nov-2023,10:10,182.78,-0.13,-0.07%,182.92,182.60,183.19,"684,971"
09-Nov-2023,10:05,182.92,-0.39,-0.21%,183.29,182.80,183.42,"729,768"
09-Nov-2023,10:00,183.30,+0.15,+0.08%,183.14,183.03,183.31,"608,399"
09-Nov-2023,09:55,183.15,+0.19,+0.10%,182.95,182.71,183.19,"636,394"
09-Nov-2023,09:50,182.96,+0.03,+0.02%,182.93,182.74,183.08,"781,092"
09-Nov-2023,09:45,182.93,-0.03,-0.02%,182.96,182.85,183.24,"1,006,687"
09-Nov-2023,09:40,182.96,-0.40,-0.22%,183.36,182.92,183.40,"816,638"
09-Nov-2023,09:35,183.36,+0.40,+0.22%,182.96,182.89,183.55,"1,890,355"
09-Nov-2023,09:30,182.96,+0.12,+0.07%,182.79,182.60,183.10,"64,793"
09-Nov-2023,09:25,182.84,+0.19,+0.10%,182.68,182.65,182.84,"17,392"
09-Nov-2023,09:20,182.65,+0.09,+0.05%,182.66,182.60,182.68,"9,349"
09-Nov-2023,09:15,182.56,+0.15,+0.08%,182.41,182.41,182.66,"7,089"
09-Nov-2023,09:10,182.42,-0.06,-0.04%,182.48,182.40,182.50,"9,810"
09-Nov-2023,09:05,182.48,-0.15,-0.08%,182.63,182.47,182.65,"11,271"
09-Nov-2023,09:00,182.63,+0.17,+0.09%,182.44,182.41,182.65,"10,115"
09-Nov-2023,08:55,182.46,+0.09,+0.05%,182.37,182.32,182.47,"4,030"
09-Nov-2023,08:50,182.37,+0.03,+0.02%,182.29,182.25,182.47,"15,590"
09-Nov-2023,08:45,182.33,-0.00,-0.00%,182.33,182.26,182.39,"6,098"
09-Nov-2023,08:40,182.34,+0.13,+0.07%,182.25,182.21,182.45,"11,072"
09-Nov-2023,08:35,182.21,-0.19,-0.10%,182.49,182.20,182.49,"9,149"
09-Nov-2023,08:30,182.40,+0.05,+0.03%,182.37,182.36,182.49,"8,573"
09-Nov-2023,08:25,182.35,-0.02,-0.01%,182.35,182.30,182.47,"7,688"
09-Nov-2023,08:20,182.37,+0.09,+0.05%,182.30,182.26,182.39,"15,133"
09-Nov-2023,08:15,182.28,-0.07,-0.04%,182.35,182.25,182.40,"7,884"
09-Nov-2023,08:10,182.35,-0.02,-0.01%,182.40,182.30,182.44,"3,683"
09-Nov-2023,08:05,182.37,+0.01,+0.01%,182.46,182.07,182.86,"32,639"
09-Nov-2023,08:00,182.36,-0.05,-0.03%,182.41,182.28,182.41,"12,397"
09-Nov-2023,07:55,182.41,+0.06,+0.03%,182.37,182.35,182.43,"2,026"
09-Nov-2023,07:50,182.35,-0.01,-0.01%,182.36,182.32,182.40,632
09-Nov-2023,07:45,182.36,+0.01,+0.01%,182.31,182.30,182.38,"3,452"
09-Nov-2023,07:40,182.35,-0.02,-0.01%,182.37,182.31,182.38,"1,944"
09-Nov-2023,07:35,182.37,-0.03,-0.02%,182.40,182.33,182.40,"1,902"
09-Nov-2023,07:30,182.40,-0.01,-0.01%,182.40,182.32,182.44,"2,213"
09-Nov-2023,07:25,182.41,0.00,0.00%,182.41,182.33,182.46,"3,400"
09-Nov-2023,07:20,182.41,-0.07,-0.04%,182.47,182.41,182.48,"2,299"
09-Nov-2023,07:15,182.48,-0.07,-0.04%,182.55,182.46,182.55,"1,382"
09-Nov-2023,07:10,182.55,+0.21,+0.12%,182.36,182.36,182.65,"30,229"
09-Nov-2023,07:05,182.34,+0.22,+0.12%,182.20,182.14,182.42,"6,921"
09-Nov-2023,07:00,182.12,-0.08,-0.04%,182.21,182.11,182.23,"1,266"
09-Nov-2023,06:55,182.20,+0.06,+0.03%,182.14,182.13,182.22,"1,139"
09-Nov-2023,06:50,182.14,-0.06,-0.03%,182.19,182.13,182.20,"1,148"
09-Nov-2023,06:45,182.20,+0.05,+0.03%,182.15,182.15,182.21,674
09-Nov-2023,06:40,182.15,0.00,0.00%,182.19,182.12,182.21,710
09-Nov-2023,06:35,182.15,0.00,0.00%,182.15,182.14,182.22,534
09-Nov-2023,06:30,182.15,-0.03,-0.02%,182.15,182.09,182.18,"1,390"
