Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
08-Nov-2023,16:00,"15,313.45",+1.08,+0.01%,"15,312.75","15,307.26","15,317.54","14,731,127"
08-Nov-2023,15:55,"15,312.36",+1.87,+0.01%,"15,312.56","15,309.49","15,320.02","5,418,955"
08-Nov-2023,15:50,"15,310.49",-7.19,-0.05%,"15,316.85","15,310.32","15,320.25","2,651,475"
08-Nov-2023,15:45,"15,317.69",+20.26,+0.13%,"15,297.42","15,297.38","15,320.79","2,745,248"
08-Nov-2023,15:40,"15,297.43",+8.92,+0.06%,"15,288.61","15,287.85","15,298.37","1,937,488"
08-Nov-2023,15:35,"15,288.51",-8.79,-0.06%,"15,297.42","15,288.26","15,297.46","1,842,637"
08-Nov-2023,15:30,"15,297.30",+1.66,+0.01%,"15,295.49","15,293.01","15,299.85","1,580,904"
08-Nov-2023,15:25,"15,295.64",+5.77,+0.04%,"15,289.80","15,287.86","15,296.58","1,542,962"
08-Nov-2023,15:20,"15,289.87",-1.50,-0.01%,"15,291.33","15,286.75","15,293.41","1,518,928"
08-Nov-2023,15:15,"15,291.37",+4.57,+0.03%,"15,287.02","15,282.63","15,292.14","1,585,096"
08-Nov-2023,15:10,"15,286.80",-3.16,-0.02%,"15,290.08","15,285.86","15,292.82","1,275,028"
08-Nov-2023,15:05,"15,289.96",+7.19,+0.05%,"15,283.39","15,282.55","15,290.40","1,476,322"
08-Nov-2023,15:00,"15,282.77",-15.15,-0.10%,"15,297.90","15,281.79","15,298.44","1,332,055"
08-Nov-2023,14:55,"15,297.92",-1.69,-0.01%,"15,298.90","15,291.52","15,299.18","1,121,621"
08-Nov-2023,14:50,"15,299.61",-5.67,-0.04%,"15,305.19","15,299.61","15,305.76","1,082,504"
08-Nov-2023,14:45,"15,305.28",-2.31,-0.02%,"15,307.64","15,298.60","15,308.93","1,073,125"
08-Nov-2023,14:40,"15,307.59",+9.26,+0.06%,"15,297.64","15,293.61","15,307.59","1,083,781"
08-Nov-2023,14:35,"15,298.33",-11.00,-0.07%,"15,309.31","15,296.26","15,313.64","1,470,255"
08-Nov-2023,14:30,"15,309.33",+0.07,+0.00%,"15,309.32","15,305.05","15,310.45","971,754"
08-Nov-2023,14:25,"15,309.26",+5.07,+0.03%,"15,304.06","15,303.68","15,310.55","937,211"
08-Nov-2023,14:20,"15,304.18",+2.50,+0.02%,"15,301.68","15,301.68","15,308.47","1,104,207"
