Local Date,Local Time,Close,Net,%Chg,Open,Low,High
08-Nov-2023,16:00,"8,017.00",+2.73,+0.03%,"8,014.37","8,012.33","8,017.75"
08-Nov-2023,15:55,"8,014.27",+4.46,+0.06%,"8,009.98","8,009.98","8,017.70"
08-Nov-2023,15:50,"8,009.81",-6.61,-0.08%,"8,016.88","8,009.81","8,017.31"
08-Nov-2023,15:45,"8,016.42",+10.35,+0.13%,"8,006.14","8,006.14","8,017.56"
08-Nov-2023,15:40,"8,006.07",+5.39,+0.07%,"7,999.29","7,999.03","8,006.07"
08-Nov-2023,15:35,"8,000.68",-3.68,-0.05%,"8,003.90","7,999.91","8,004.36"
08-Nov-2023,15:30,"8,004.36",+1.80,+0.02%,"8,002.45","8,001.15","8,005.20"
08-Nov-2023,15:25,"8,002.56",+4.22,+0.05%,"7,999.05","7,998.28","8,003.06"
08-Nov-2023,15:20,"7,998.34",-3.42,-0.04%,"8,001.86","7,996.99","8,002.58"
08-Nov-2023,15:15,"8,001.76",+1.14,+0.01%,"7,999.82","7,998.02","8,003.31"
08-Nov-2023,15:10,"8,000.62",-1.58,-0.02%,"8,001.83","8,000.62","8,004.21"
08-Nov-2023,15:05,"8,002.20",+3.05,+0.04%,"7,999.43","7,998.08","8,003.68"
08-Nov-2023,15:00,"7,999.15",-9.04,-0.11%,"8,008.81","7,998.74","8,008.81"
08-Nov-2023,14:55,"8,008.19",-3.89,-0.05%,"8,010.51","8,004.65","8,010.51"
08-Nov-2023,14:50,"8,012.08",-3.97,-0.05%,"8,016.63","8,011.42","8,016.63"
08-Nov-2023,14:45,"8,016.05",-1.83,-0.02%,"8,019.28","8,012.79","8,020.52"
08-Nov-2023,14:40,"8,017.88",+7.14,+0.09%,"8,012.31","8,010.62","8,018.51"
08-Nov-2023,14:35,"8,010.74",-9.67,-0.12%,"8,020.39","8,010.74","8,021.28"
08-Nov-2023,14:30,"8,020.41",+0.33,+0.00%,"8,019.45","8,016.73","8,021.02"
08-Nov-2023,14:25,"8,020.08",+4.13,+0.05%,"8,016.07","8,015.91","8,020.08"
08-Nov-2023,14:20,"8,015.95",+0.19,+0.00%,"8,015.42","8,015.42","8,019.23"
08-Nov-2023,14:15,"8,015.76",-2.07,-0.03%,"8,018.30","8,015.76","8,018.59"
08-Nov-2023,14:10,"8,017.83",+4.17,+0.05%,"8,011.23","8,011.23","8,018.48"
08-Nov-2023,14:05,"8,013.66",+8.71,+0.11%,"8,004.53","8,002.21","8,013.66"
08-Nov-2023,14:00,"8,004.95",-2.13,-0.03%,"8,007.95","8,002.92","8,008.06"
08-Nov-2023,13:55,"8,007.08",-0.38,-0.00%,"8,007.87","8,004.33","8,008.88"
08-Nov-2023,13:50,"8,007.46",-2.37,-0.03%,"8,009.35","8,005.38","8,010.47"
08-Nov-2023,13:45,"8,009.83",+2.42,+0.03%,"8,006.03","8,005.92","8,009.83"
08-Nov-2023,13:40,"8,007.41",+2.08,+0.03%,"8,005.41","8,004.11","8,007.77"
08-Nov-2023,13:35,"8,005.33",+1.32,+0.02%,"8,004.72","8,003.52","8,006.57"
08-Nov-2023,13:30,"8,004.01",+4.34,+0.05%,"7,999.91","7,999.33","8,005.80"
08-Nov-2023,13:25,"7,999.67",+6.56,+0.08%,"7,992.36","7,987.87","8,001.49"
08-Nov-2023,13:20,"7,993.11",-2.03,-0.03%,"7,994.34","7,993.06","7,998.64"
08-Nov-2023,13:15,"7,995.14",-2.95,-0.04%,"7,998.96","7,992.13","7,998.96"
08-Nov-2023,13:10,"7,998.09",+7.24,+0.09%,"7,991.17","7,991.17","7,998.29"
08-Nov-2023,13:05,"7,990.85",+4.84,+0.06%,"7,985.60","7,982.30","7,991.60"
08-Nov-2023,13:00,"7,986.01",-0.32,-0.00%,"7,985.56","7,981.23","7,986.05"
08-Nov-2023,12:55,"7,986.33",+1.22,+0.02%,"7,986.02","7,982.82","7,986.33"
08-Nov-2023,12:50,"7,985.11",-1.45,-0.02%,"7,986.52","7,983.39","7,987.55"
08-Nov-2023,12:45,"7,986.56",+2.94,+0.04%,"7,984.39","7,982.48","7,986.78"
08-Nov-2023,12:40,"7,983.62",+8.52,+0.11%,"7,975.71","7,972.96","7,983.62"
08-Nov-2023,12:35,"7,975.10",-1.51,-0.02%,"7,976.58","7,971.16","7,976.81"
08-Nov-2023,12:30,"7,976.61",+1.07,+0.01%,"7,976.95","7,973.37","7,979.63"
08-Nov-2023,12:25,"7,975.54",+1.55,+0.02%,"7,973.78","7,973.64","7,978.14"
08-Nov-2023,12:20,"7,973.99",+2.81,+0.04%,"7,970.21","7,968.61","7,973.99"
08-Nov-2023,12:15,"7,971.18",+7.62,+0.10%,"7,963.23","7,962.98","7,974.07"
08-Nov-2023,12:10,"7,963.56",-17.52,-0.22%,"7,979.92","7,960.09","7,979.92"
08-Nov-2023,12:05,"7,981.08",-5.08,-0.06%,"7,983.00","7,976.71","7,984.62"
08-Nov-2023,12:00,"7,986.16",-5.37,-0.07%,"7,993.04","7,986.16","7,993.63"
08-Nov-2023,11:55,"7,991.53",-0.10,-0.00%,"7,990.49","7,985.18","7,992.71"
08-Nov-2023,11:50,"7,991.63",+0.61,+0.01%,"7,993.42","7,988.66","7,996.99"
08-Nov-2023,11:45,"7,991.02",+3.69,+0.05%,"7,988.39","7,985.31","7,991.02"
08-Nov-2023,11:40,"7,987.33",+3.44,+0.04%,"7,984.65","7,984.65","7,993.59"
08-Nov-2023,11:35,"7,983.89",-2.22,-0.03%,"7,985.24","7,982.15","7,988.42"
08-Nov-2023,11:30,"7,986.11",+7.65,+0.10%,"7,982.28","7,982.28","7,989.02"
08-Nov-2023,11:25,"7,978.46",-16.58,-0.21%,"7,995.41","7,978.46","7,995.41"
08-Nov-2023,11:20,"7,995.04",+6.40,+0.08%,"7,990.32","7,988.12","7,996.58"
08-Nov-2023,11:15,"7,988.64",+7.31,+0.09%,"7,980.84","7,980.84","7,992.24"
08-Nov-2023,11:10,"7,981.33",-9.46,-0.12%,"7,989.73","7,980.69","7,989.76"
08-Nov-2023,11:05,"7,990.79",+7.90,+0.10%,"7,980.58","7,979.65","7,990.79"
08-Nov-2023,11:00,"7,982.89",+3.52,+0.04%,"7,979.09","7,977.38","7,989.22"
08-Nov-2023,10:55,"7,979.37",-8.88,-0.11%,"7,989.13","7,979.37","7,991.92"
08-Nov-2023,10:50,"7,988.25",+3.93,+0.05%,"7,986.78","7,984.25","7,989.99"
