Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
08-Nov-2023,16:00,20.01,+0.03,+0.13%,19.99,19.95,20.01,"1,730"
08-Nov-2023,15:55,19.99,-0.00,-0.03%,19.84,19.84,20.01,206
08-Nov-2023,15:50,19.99,-0.01,-0.05%,20.03,19.99,20.03,"10,113"
08-Nov-2023,15:45,20.00,+0.01,+0.05%,19.98,19.98,20.05,"2,566"
08-Nov-2023,15:40,19.99,+0.03,+0.15%,19.96,19.96,19.99,"1,921"
08-Nov-2023,15:35,19.96,-0.01,-0.05%,19.98,19.96,19.98,741
08-Nov-2023,15:30,,,,,,,
08-Nov-2023,15:25,19.97,+0.03,+0.15%,19.97,19.97,19.97,159
08-Nov-2023,15:20,19.94,+0.01,+0.05%,19.97,19.93,19.97,44
08-Nov-2023,15:15,19.93,-0.04,-0.19%,19.93,19.93,19.93,103
08-Nov-2023,15:10,19.97,+0.01,+0.05%,19.96,19.96,19.97,101
08-Nov-2023,15:05,19.96,+0.05,+0.24%,19.95,19.93,19.97,148
08-Nov-2023,15:00,19.91,-0.05,-0.27%,19.91,19.91,19.91,70
08-Nov-2023,14:55,19.97,-0.00,-0.03%,19.97,19.97,19.97,100
08-Nov-2023,14:50,19.97,+0.02,+0.13%,19.95,19.93,19.97,"1,168"
08-Nov-2023,14:45,19.95,+0.02,+0.13%,19.91,19.91,19.98,472
08-Nov-2023,14:40,19.92,+0.01,+0.07%,19.95,19.91,19.95,116
08-Nov-2023,14:35,19.91,-0.04,-0.22%,19.98,19.91,19.99,192
08-Nov-2023,14:30,19.95,0.00,0.00%,19.92,19.92,19.95,11
08-Nov-2023,14:25,19.95,+0.01,+0.05%,19.93,19.91,20.00,442
08-Nov-2023,14:20,19.94,+0.04,+0.19%,19.91,19.91,20.00,102
08-Nov-2023,14:15,19.90,-0.04,-0.19%,19.90,19.90,19.90,750
08-Nov-2023,14:10,19.94,-0.03,-0.15%,19.95,19.94,19.95,15
08-Nov-2023,14:05,19.97,+0.06,+0.33%,19.91,19.91,19.97,130
08-Nov-2023,14:00,19.91,-0.03,-0.16%,19.91,19.91,19.91,150
08-Nov-2023,13:55,19.94,+0.08,+0.39%,19.95,19.94,19.95,263
08-Nov-2023,13:45,,,,,,,
08-Nov-2023,13:40,19.86,+0.02,+0.10%,19.95,19.86,19.95,953
08-Nov-2023,13:35,19.84,-0.07,-0.35%,19.92,19.84,19.92,31
08-Nov-2023,13:30,,,,,,,
08-Nov-2023,13:25,19.91,+0.05,+0.23%,19.86,19.86,19.91,379
08-Nov-2023,13:20,19.87,-0.01,-0.03%,19.87,19.87,19.87,382
08-Nov-2023,13:15,19.87,+0.04,+0.18%,19.85,19.85,19.87,110
08-Nov-2023,13:10,19.83,+0.06,+0.30%,19.83,19.83,19.83,406
08-Nov-2023,13:05,19.78,-0.04,-0.18%,19.78,19.78,19.86,18
08-Nov-2023,13:00,,,,,,,
08-Nov-2023,12:55,19.81,-0.09,-0.45%,19.97,19.81,19.97,96
08-Nov-2023,12:50,19.90,+0.07,+0.35%,19.89,19.86,20.00,618
08-Nov-2023,12:45,19.83,+0.13,+0.69%,19.77,19.77,19.83,"2,311"
08-Nov-2023,12:40,19.70,+0.04,+0.18%,19.57,19.57,19.70,533
08-Nov-2023,12:35,19.66,-0.03,-0.15%,19.66,19.66,19.66,20
08-Nov-2023,12:25,19.69,+0.01,+0.05%,19.68,19.68,19.70,"5,426"
08-Nov-2023,12:20,19.68,+0.05,+0.26%,19.66,19.66,19.68,"17,157"
08-Nov-2023,12:15,19.63,-0.06,-0.31%,19.63,19.63,19.63,300
08-Nov-2023,12:10,19.69,+0.08,+0.40%,19.69,19.69,19.69,326
08-Nov-2023,12:05,19.61,+0.00,+0.00%,19.60,19.60,19.69,690
08-Nov-2023,12:00,19.61,-0.03,-0.16%,19.70,19.59,19.70,659
08-Nov-2023,11:55,19.64,-0.04,-0.19%,19.66,19.62,19.69,9
08-Nov-2023,11:50,19.68,+0.05,+0.25%,19.70,19.67,19.70,727
08-Nov-2023,11:45,19.63,0.00,0.00%,19.67,19.63,19.67,11
08-Nov-2023,11:40,19.63,-0.05,-0.25%,19.63,19.63,19.63,75
08-Nov-2023,11:35,19.68,+0.08,+0.43%,19.63,19.63,19.68,195
08-Nov-2023,11:25,19.60,-0.08,-0.39%,19.65,19.57,19.69,62
08-Nov-2023,11:20,19.67,+0.03,+0.17%,19.65,19.64,19.70,374
08-Nov-2023,11:15,19.64,+0.05,+0.23%,19.56,19.56,19.64,"2,195"
08-Nov-2023,11:10,19.60,-0.04,-0.22%,19.60,19.60,19.60,179
08-Nov-2023,11:05,19.64,+0.09,+0.45%,19.64,19.64,19.64,5
08-Nov-2023,11:00,19.55,-0.01,-0.05%,19.60,19.55,19.64,315
08-Nov-2023,10:55,19.56,-0.07,-0.33%,19.57,19.56,19.60,314
08-Nov-2023,10:50,19.63,-0.01,-0.08%,19.59,19.55,19.63,556
08-Nov-2023,10:45,19.64,+0.05,+0.23%,19.60,19.60,19.64,"1,209"
08-Nov-2023,10:40,19.60,-0.03,-0.17%,19.55,19.55,19.63,23
08-Nov-2023,10:35,19.63,+0.00,+0.02%,19.55,19.55,19.63,234
08-Nov-2023,10:30,19.63,-0.01,-0.07%,19.60,19.56,19.64,"1,008"
08-Nov-2023,10:25,19.64,+0.04,+0.22%,19.58,19.58,19.64,12
08-Nov-2023,10:20,19.60,-0.08,-0.41%,19.58,19.58,19.69,9
08-Nov-2023,10:15,19.68,+0.02,+0.11%,19.66,19.66,19.69,3
08-Nov-2023,10:10,19.66,-0.02,-0.13%,19.66,19.59,19.69,508
08-Nov-2023,10:05,19.68,+0.02,+0.10%,19.71,19.66,19.71,879
08-Nov-2023,10:00,19.66,-0.10,-0.51%,19.74,19.66,19.74,3
08-Nov-2023,09:55,19.76,+0.08,+0.41%,19.67,19.67,19.76,"1,250"
08-Nov-2023,09:50,19.68,-0.03,-0.15%,19.76,19.67,19.76,255
08-Nov-2023,09:45,19.71,-0.04,-0.20%,19.76,19.68,19.76,"3,384"
08-Nov-2023,09:40,19.75,+0.07,+0.34%,19.70,19.68,19.75,"1,274"
08-Nov-2023,09:35,19.68,+0.11,+0.57%,19.76,19.67,19.80,"1,654"
08-Nov-2023,09:30,,,,,,,
08-Nov-2023,09:25,19.57,+0.32,+1.66%,19.57,19.33,19.57,10
08-Nov-2023,09:20,,,,,,,
08-Nov-2023,09:15,,,,,,,
08-Nov-2023,09:10,,,,,,,
08-Nov-2023,09:05,,,,,,,
08-Nov-2023,09:00,,,,,,,
08-Nov-2023,08:55,,,,,,,
08-Nov-2023,08:35,,,,,,,
08-Nov-2023,08:30,,,,,,,
08-Nov-2023,08:25,,,,,,,
08-Nov-2023,08:20,,,,,,,
08-Nov-2023,08:15,,,,,,,
08-Nov-2023,08:10,,,,,,,
08-Nov-2023,08:05,,,,,,,1
08-Nov-2023,08:00,,,,,,,
08-Nov-2023,07:55,,,,,,,
08-Nov-2023,07:50,,,,,,,
08-Nov-2023,07:45,,,,,,,
08-Nov-2023,07:40,,,,,,,
08-Nov-2023,07:35,,,,,,,
08-Nov-2023,07:30,,,,,,,
08-Nov-2023,07:25,,,,,,,
08-Nov-2023,07:15,,,,,,,
08-Nov-2023,07:10,,,,,,,
08-Nov-2023,07:05,,,,,,,
08-Nov-2023,06:45,,,,,,,
08-Nov-2023,06:20,,,,,,,
08-Nov-2023,06:10,,,,,,,
08-Nov-2023,06:05,,,,,,,
08-Nov-2023,05:30,,,,,,,
08-Nov-2023,04:50,,,,,,,
08-Nov-2023,04:40,19.25,-0.58,-2.92%,19.31,18.99,19.53,800
08-Nov-2023,04:10,,,,,,,
08-Nov-2023,04:05,,,,,,,
08-Nov-2023,01:10,,,,,,,
07-Nov-2023,17:35,,,,,,,
07-Nov-2023,16:20,19.83,+0.26,+1.33%,19.83,19.83,19.83,
07-Nov-2023,16:10,19.57,-0.26,-1.31%,19.57,19.57,19.57,1
07-Nov-2023,16:05,19.83,0.00,0.00%,19.83,19.83,19.83,"1,093"
07-Nov-2023,16:00,19.83,-0.05,-0.25%,19.82,19.82,19.87,"1,061"
07-Nov-2023,15:55,19.88,+0.01,+0.07%,19.86,19.84,19.88,636
07-Nov-2023,15:50,19.87,+0.00,+0.00%,19.85,19.85,19.88,"1,337"
07-Nov-2023,15:45,19.87,-0.01,-0.07%,19.87,19.87,19.87,101
07-Nov-2023,15:40,19.88,-0.00,-0.00%,19.88,19.84,19.88,876
07-Nov-2023,15:35,19.88,+0.04,+0.20%,19.86,19.86,19.88,60
07-Nov-2023,15:30,19.84,+0.02,+0.10%,19.83,19.83,19.84,"2,014"
07-Nov-2023,15:25,19.82,0.00,0.00%,19.84,19.82,19.84,120
07-Nov-2023,15:20,19.82,0.00,0.00%,19.82,19.82,19.82,200
07-Nov-2023,15:15,19.82,-0.01,-0.03%,19.82,19.82,19.82,100
07-Nov-2023,15:10,19.83,+0.02,+0.08%,19.84,19.83,19.84,308
